Time: 81	1
0.64713	
0.64713	0.64682	0.64743	0.64758	0.64713	0.64713	0.64697	0.64728	0.64713	0.64697	
0.64713	0.64758	0.64713	0.64728	0.64728	0.64758	0.64697	0.64713	0.64728	0.64682	
0.64697	0.64697	0.64728	0.64728	0.64743	0.64728	0.64728	0.64713	0.64667	0.64697	
0.64758	0.64697	0.64728	0.64651	0.64713	0.64774	0.64728	0.64758	0.64682	0.64697	
0.64758	0.64728	0.64728	0.64682	0.64697	0.64758	0.64743	0.64743	0.64743	0.64728	
0.64758	0.64713	0.64713	0.64713	0.64728	0.64713	0.64713	0.64743	0.64728	0.64728	
0.64728	0.64758	0.64713	0.64697	0.64743	0.64743	0.64697	0.64728	0.64713	0.64713	
0.64743	0.64728	0.64713	0.64682	0.64713	0.64743	0.64697	0.64697	0.64667	0.64743	
0.64728	0.64697	0.64728	0.64713	0.64758	0.64728	0.64713	0.64697	0.64682	0.64743	
0.64743	0.64728	0.64743	0.64697	0.64713	0.64728	0.64728	0.64743	0.64743	0.64713	
0.64713	0.64728	0.64728	0.64697	0.64804	0.64713	0.64713	0.64713	0.64713	0.64743	
0.64682	0.64743	0.64713	0.64713	0.64713	0.64728	0.64697	0.64713	0.64743	0.64774	
0.64697	0.64743	0.64697	0.64743	0.64682	0.64713	0.64728	0.64713	0.64728	0.64697	
0.64713	0.64758	0.64713	0.64713	0.64728	0.64713	0.64728	0.64728	0.64713	0.64713	
0.64743	0.64774	0.64713	0.64713	0.64728	0.64758	0.64774	0.64728	0.64743	0.64728	
0.64743	0.64743	0.64728	0.64743	0.64728	0.64774	0.64758	0.64758	0.64743	0.64758	
0.64697	0.64789	0.64774	0.64758	0.64743	0.64743	0.64774	0.64713	0.64697	0.64713	
0.64743	0.64713	0.64758	0.64697	0.64774	0.64682	0.64743	0.64728	0.64728	0.64713	
0.64728	0.64713	0.64713	0.64697	0.64713	0.64728	0.64728	0.64743	0.64743	0.64743	
0.64728	0.64743	0.64758	0.64758	0.64728	0.64713	0.64774	0.64697	0.64758	0.64713	
0.64743	0.64743	0.64728	0.64758	0.64697	0.64758	0.64728	0.64697	0.64728	0.64697	
0.64728	0.64728	0.64682	0.64758	0.64697	0.64713	0.64774	0.64713	0.64728	0.64713	
0.64621	0.64575	0.64575	0.64606	0.64529	0.64590	0.64560	0.64575	0.64606	0.64560	
0.64621	0.64590	0.64590	0.64590	0.64590	0.64590	0.64545	0.64606	0.64590	0.64545	
0.64606	0.64606	0.64590	0.64590	0.64529	0.64545	0.64590	0.64575	0.64560	0.64575	
